,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,2023-12-31,USD,471559000,4627389000,4155830000,3896590000,353989000,226682000,None,953857000,None,-500000,None,500000,4627889000,None,None,3024000,349525000,44649000,500000,313675000,304876000,353989000,353049000,304876000
1,2022-12-31,USD,423815000,4009113000,3585298000,3361290000,320197000,197712000,None,825552000,None,-1300000,None,1300000,4009713000,1239000,None,2813000,313533000,43715000,1300000,277597000,269818000,320197000,317646000,269818000
2,2021-12-31,USD,398735000,3460579000,3061844000,2857444000,297192000,178580000,None,725382000,None,-200000,None,200000,3460779000,-637000,None,751000,284872000,39578000,200000,253314000,245400000,297192000,285823000,245294000
3,2020-12-31,USD,1337487000,2394679000,1057192000,900964000,23844000,133303000,None,563097000,None,-300000,None,300000,2394979000,-500000,None,563000,15583000,-15672000,300000,34925000,31374000,23844000,16446000,31255000
4,2019-12-31,USD,1629093000,2750278000,1121185000,933514000,212023000,167689000,None,611982000,None,1514000,1892000,1514000,2750278000,378000,None,725000,206849000,32397000,None,181518000,174455000,212023000,212748000,174452000
5,2018-12-31,USD,1454924000,2451341000,996417000,823084000,187789000,153263000,None,554809000,None,-100000,None,100000,2451441000,1353000,None,741000,182482000,24257000,100000,164294000,158036000,187789000,183323000,158225000
6,2017-12-31,USD,619454000,2212993000,1593539000,1434895000,186206000,137794000,None,506317000,None,-1577000,None,1577000,-4961000,1488000,None,922000,180107000,48581000,1577000,137536000,131681000,181684000,182606000,131526000
7,2016-12-31,USD,557449000,1984334000,1426885000,1281859000,171900000,124095000,None,455468000,None,-1255000,None,1255000,-5125000,1111000,None,1205000,166781000,51183000,1255000,120573000,115513000,168036000,169241000,115598000
8,2015-12-31,USD,485648000,1799954000,1314306000,1188804000,144565000,104036000,None,406249000,None,-1959000,318000,1959000,-5455000,1641000,None,1376000,139880000,42986000,1959000,101261000,97567000,141839000,143215000,96894000
9,2014-12-31,USD,431697000,1575077000,1143380000,1030163000,130449000,92456000,None,364549000,None,-2084000,None,2084000,-4987000,1602000,None,1673000,126012000,38990000,2084000,90977000,87892000,130449000,129769000,87022000
10,2013-12-31,USD,361527000,1416590000,1055063000,919600000,119715000,87358000,None,366426000,None,-2201000,None,2201000,-3794000,713000,None,1624000,114563000,34140000,2201000,84087000,81232000,119715000,118388000,80423000
11,2012-12-31,USD,358162000,1258179000,900017000,805178000,110458000,79740000,None,304326000,None,-2347000,None,2347000,-2805000,428000,None,1076000,105908000,34738000,2347000,73801000,71318000,110458000,109331000,71170000
12,2011-12-31,USD,319280000,1104435000,785155000,706218000,95239000,66202000,None,267984000,None,-2413000,None,2413000,-2378000,None,100000,1076000,90729000,26765000,2413000,66427000,62693000,95239000,94218000,63964000
